temperature,humidity,co2,fan_status
29.0,60.2,582.0,ON
20.8,58.7,506.0,OFF
23.8,51.4,932.0,OFF
23.5,61.1,576.0,OFF
25.6,39.6,661.0,OFF
22.8,71.6,507.0,ON
30.7,74.1,738.0,ON
19.3,30.4,621.0,OFF
24.2,46.3,806.0,OFF
26.1,48.1,951.0,OFF
26.0,46.3,957.0,OFF
28.8,44.8,794.0,ON
20.9,83.3,658.0,ON
27.0,49.2,523.0,OFF
17.7,56.5,813.0,OFF
25.9,85.3,996.0,ON
22.5,46.7,578.0,OFF
16.3,,718.0,OFF
32.8,43.2,490.0,ON
24.2,51.5,818.0,OFF
23.4,69.9,713.0,OFF
29.8,43.5,662.0,ON
31.6,81.5,1054.0,ON
26.7,68.7,320.0,OFF
25.8,38.3,670.0,OFF
33.4,44.2,824.0,ON
22.8,49.7,534.0,OFF
31.4,24.4,680.0,ON
25.9,38.6,656.0,OFF
11.9,46.4,799.0,OFF
23.0,,643.0,OFF
15.1,37.9,666.0,OFF
,69.8,735.0,OFF
28.2,46.0,508.0,ON
20.1,63.4,782.0,OFF
26.4,,793.0,OFF
19.0,54.6,854.0,OFF
25.7,49.6,589.0,OFF
32.5,49.4,441.0,ON
25.7,58.9,859.0,OFF
28.9,73.2,834.0,ON
29.6,30.7,635.0,ON
28.4,44.0,980.0,ON
14.0,57.8,428.0,OFF
21.1,64.3,558.0,OFF
27.3,56.4,465.0,OFF
17.1,46.5,990.0,OFF
34.3,65.6,826.0,ON
18.1,69.6,587.0,OFF
25.8,57.0,877.0,OFF
28.6,51.4,583.0,ON
27.6,57.3,546.0,OFF
20.6,66.7,511.0,OFF
30.6,39.3,692.0,ON
17.9,64.8,644.0,OFF
27.0,32.0,543.0,OFF
23.6,88.9,561.0,ON
12.3,57.0,452.0,OFF
21.6,50.5,625.0,OFF
26.3,76.4,776.0,ON
27.1,43.4,1131.0,ON
23.1,44.6,674.0,OFF
19.5,27.9,946.0,OFF
22.3,34.7,525.0,OFF
33.2,53.1,823.0,ON
18.7,-12.0,560.0,OFF
24.6,50.1,861.0,OFF
27.2,74.4,,ON
28.3,48.5,717.0,ON
17.4,42.2,374.0,OFF
19.8,-40.0,713.0,ON
24.2,71.9,439.0,ON
27.6,57.6,611.0,OFF
20.7,46.7,527.0,OFF
25.4,30.5,688.0,OFF
23.0,59.7,,OFF
23.5,19.7,495.0,OFF
18.6,86.3,646.0,ON
26.1,58.6,695.0,OFF
24.1,58.5,1030.0,ON
26.3,64.4,1024.0,ON
26.4,72.6,496.0,ON
23.3,37.5,841.0,OFF
24.1,,586.0,OFF
250.0,75.8,370.0,ON
25.9,71.2,763.0,ON
26.6,58.5,646.0,OFF
14.1,65.2,409.0,OFF
18.4,42.1,578.0,OFF
30.1,81.5,1079.0,ON
20.3,87.6,475.0,ON
27.7,68.0,615.0,OFF
23.2,22.5,807.0,OFF
24.7,57.0,401.0,OFF
21.0,67.1,774.0,OFF
24.2,59.1,704.0,OFF
28.4,56.4,554.0,ON
-55.0,77.8,867.0,ON
85.0,51.4,568.0,OFF
29.3,34.4,320.0,ON
25.7,63.3,475.0,OFF
28.4,58.1,474.0,ON
24.9,53.6,564.0,OFF
24.5,64.5,320.0,OFF
23.7,85.7,,ON
30.2,45.7,598.0,ON
,57.4,716.0,ON
27.1,77.9,665.0,ON
26.4,50.4,728.0,OFF
31.4,44.0,418.0,ON
25.1,57.2,897.0,OFF
31.4,54.4,478.0,ON
35.2,57.7,728.0,ON
22.8,44.1,681.0,OFF
21.3,45.9,901.0,OFF
24.3,60.5,320.0,OFF
22.2,59.2,943.0,OFF
