temperature,humidity,fan_status
29,60.2,ON
20.8,58.7,OFF
23.8,51.4,OFF
23.5,61.1,OFF
25.6,39.6,OFF
22.8,71.6,ON
30.7,74.1,ON
19.3,30.4,OFF
24.2,46.3,OFF
26.1,48.1,OFF
26,46.3,OFF
28.8,44.8,ON
20.9,83.3,ON
27,49.2,OFF
17.7,56.5,OFF
25.9,85.3,ON
22.5,46.7,OFF
16.3,,OFF
32.8,43.2,ON
24.2,51.5,OFF
23.4,69.9,OFF
29.8,43.5,ON
31.6,81.5,ON
26.7,68.7,OFF
25.8,38.3,OFF
33.4,44.2,ON
22.8,49.7,OFF
31.4,24.4,ON
25.9,38.6,OFF
11.9,46.4,OFF
23,,OFF
15.1,37.9,OFF
,69.8,OFF
28.2,46,ON
20.1,63.4,OFF
26.4,,OFF
19,54.6,OFF
25.7,49.6,OFF
32.5,49.4,ON
25.7,58.9,OFF
28.9,73.2,ON
29.6,30.7,ON
28.4,44,ON
14,57.8,OFF
21.1,64.3,OFF
27.3,56.4,OFF
17.1,46.5,OFF
34.3,65.6,ON
18.1,69.6,OFF
25.8,57,OFF
28.6,51.4,ON
27.6,57.3,OFF
20.6,66.7,OFF
30.6,39.3,ON
17.9,64.8,OFF
27,32,OFF
23.6,88.9,ON
12.3,57,OFF
21.6,50.5,OFF
26.3,76.4,ON
27.1,43.4,ON
23.1,44.6,OFF
19.5,27.9,OFF
22.3,34.7,OFF
33.2,53.1,ON
18.7,-12,OFF
24.6,50.1,OFF
27.2,74.4,ON
28.3,48.5,ON
17.4,42.2,OFF
19.8,-40,ON
24.2,71.9,ON
27.6,57.6,OFF
20.7,46.7,OFF
25.4,30.5,OFF
23,59.7,OFF
23.5,19.7,OFF
18.6,86.3,ON
26.1,58.6,OFF
24.1,58.5,ON
26.3,64.4,ON
26.4,72.6,ON
23.3,37.5,OFF
24.1,,OFF
250,75.8,ON
25.9,71.2,ON
26.6,58.5,OFF
14.1,65.2,OFF
18.4,42.1,OFF
30.1,81.5,ON
20.3,87.6,ON
27.7,68,OFF
23.2,22.5,OFF
24.7,57,OFF
21,67.1,OFF
24.2,59.1,OFF
28.4,56.4,ON
-55,77.8,ON
85,51.4,OFF
29.3,34.4,ON
25.7,63.3,OFF
28.4,58.1,ON
24.9,53.6,OFF
24.5,64.5,OFF
23.7,85.7,ON
30.2,45.7,ON
,57.4,ON
27.1,77.9,ON
26.4,50.4,OFF
31.4,44,ON
25.1,57.2,OFF
31.4,54.4,ON
35.2,57.7,ON
22.8,44.1,OFF
21.3,45.9,OFF
24.3,60.5,OFF
22.2,59.2,OFF
15.1,47.7,OFF
28.1,26.1,ON
23.2,59.6,OFF
16.2,43.3,OFF
30,50.1,ON
23.9,84.8,ON
26.2,38.6,OFF
24.3,69.3,OFF
25.8,43.1,OFF
21.5,40.1,OFF
28.3,40.2,ON
25.2,76.6,ON
19.5,87.5,ON
24.5,62.6,OFF
27.4,15,OFF
16.2,46.8,OFF
-55,58.3,OFF
15.9,58.4,OFF
23,42.1,OFF
17.4,70.9,ON
16.4,62.4,OFF
28.5,47.1,ON
,44.4,ON
22.8,61.2,OFF
16.3,68.2,OFF
19.6,47.1,OFF
19.9,86.3,ON
17.1,73.2,ON
22.8,58.7,OFF
18,40.1,OFF
31.2,86.5,ON
20.3,49.9,OFF
17.8,39.7,OFF
26.7,35.5,OFF
27.8,70.3,ON
24.9,59.6,OFF
31,36.6,ON
,48.7,OFF
18,53.6,OFF
27.6,44.8,OFF
22,64,OFF
22.4,39.9,OFF
22.6,72.2,ON
26.2,62.7,OFF
26.7,50.7,OFF
20,55.3,OFF
24.8,40.3,OFF
23.8,46.7,OFF
19.2,57.4,OFF
27.9,79.9,ON
26.9,64.1,OFF
31.5,,ON
17.6,71.4,ON
30.6,62,ON
,45.6,OFF
31.5,43.2,ON
20.9,53.3,OFF
23.2,26.6,OFF
23.7,49.6,OFF
31.3,75,ON
29,67.5,ON
20.3,45.8,OFF
32.1,74.3,ON
20,38.6,OFF
18.9,57.6,OFF
24.1,64.1,OFF
20.8,42.6,OFF
24,34.1,OFF
21.3,61.5,OFF
24.2,53.1,OFF
29.9,42.8,ON
21.3,30.1,OFF
23.9,60.1,OFF
27.2,,ON
31.9,999,ON
23.1,60.8,OFF
18,44.4,OFF
20.3,48.1,OFF
28,66.6,OFF
24.5,59,OFF
23.7,44.4,OFF
22.6,44.6,OFF
21.6,55.8,OFF
21,64.4,OFF
23.2,67.1,OFF
17.1,43.8,OFF
21.6,30.1,OFF
22.5,32.3,OFF
26.2,71.9,ON
16.9,21.2,OFF
28.5,37.3,ON
17.9,29.1,OFF
26.2,45.2,OFF
31.5,60.8,ON
28.5,39.1,ON
21.1,49.8,ON
20.8,61.5,OFF
39,61.6,ON
23.7,65.7,OFF
85,76.1,ON
27.7,32.6,OFF
22.8,45.1,OFF
22.8,44,OFF
12.1,16.2,OFF
26.4,38.6,OFF
22.2,46.1,ON
15,36.5,OFF
14.3,70,ON
30.4,65.2,ON
25.7,64.5,OFF
14.6,82.3,ON
17.6,61.1,OFF
20.7,56.7,OFF
24,56.5,OFF
29.4,29.2,ON
29.7,50.7,ON
22.9,41.3,OFF
25.6,38,OFF
24.4,56.1,OFF
18.2,42.5,OFF
30.4,68.9,ON
24.8,51.4,OFF
16.6,32.6,OFF
26,24.2,OFF
13,69.5,ON
26.3,31.7,OFF
20.7,40.8,OFF
16,71.2,ON
24.7,65.9,OFF
30.2,54.4,ON
28.3,47.9,ON
21.2,48.6,ON
31.3,50.3,ON
29,42.4,ON
21.9,58.1,OFF
19.9,63.7,OFF
30.3,40.8,ON
23.8,,OFF
16.6,65.2,OFF
31.2,86.7,ON
31,65.5,ON
24.5,65.6,OFF
18.8,50,OFF
25.3,45.5,OFF
19.3,79.8,ON
21.3,84.9,ON
31.8,57.8,ON
22.1,56.5,OFF
23.5,66.8,OFF
34.7,60.4,ON
22.7,45.2,OFF
21.9,82.8,ON
19.9,150,OFF
20.8,72.2,ON
20.3,57,OFF
29.5,55.4,ON
34.1,36.1,ON
15.1,82.9,ON
16.7,57.8,OFF
22.7,71.4,ON
20.4,42.3,OFF
20.2,26.4,OFF
16.5,54.9,ON
32,,ON
26.4,28.6,OFF
28.1,66.2,ON
24.4,54.4,OFF
26.7,34.8,OFF
27,61.9,OFF
30.6,70.3,ON
120,41.1,ON
28.4,44.9,ON
20.5,54.4,OFF
22.7,64.2,OFF
33,50.9,ON
29.8,71.4,ON
28.7,21,ON
19.9,52.9,ON
24,55.3,OFF
17.3,33.4,OFF
21.6,38.2,OFF
22.2,67.2,OFF
28.7,61.1,ON
21.3,53.4,OFF
24,70.9,ON
22.8,33.8,OFF
26,28.4,OFF
,49.3,ON
12.3,30,OFF
24.5,57.4,OFF
25.1,46,OFF
21,48.8,OFF
17.3,35.6,OFF
26.1,62.1,OFF
26.4,38.9,ON
27,38.1,OFF
21.4,54.6,OFF
20.9,69,OFF
23.5,38.7,OFF
23.8,69.4,OFF
22.7,60.9,OFF
32.6,54.7,ON
26,70.5,ON
,51.6,ON
26.4,53.2,OFF
14.8,,OFF
24.2,67,OFF
30.2,55.7,ON
14.1,53.7,OFF
29.1,46.1,ON
28.9,58,ON
23.9,69.8,OFF
19.5,68,OFF
21.5,36.3,OFF
23.3,66.6,ON
15.1,59.4,OFF
21.6,47.1,OFF
24,52.1,OFF
25.8,81.7,ON
22.5,49.2,OFF
18.7,67.7,OFF
30.4,33.4,ON
21.4,44,OFF
23.4,46.1,OFF
16.2,58.1,OFF
22.5,60.7,OFF
27.8,63.6,OFF
27.2,56,OFF
26.5,47.4,OFF
27.3,39,OFF
19.9,72.6,ON
33.3,78.1,ON
9.1,59.3,OFF
27.2,59.2,OFF
25.8,60.1,OFF
25.4,57.4,OFF
14.7,35.1,OFF
23.9,71.1,ON
28.9,74.9,ON
,40.9,OFF
21.5,44.4,OFF
21.4,51.6,OFF
29.2,-12,ON
24.6,27.2,OFF
28.5,34.6,ON
34.3,52.7,ON
26.9,66,OFF
30.8,55.4,ON
24.1,40.2,OFF
15.2,58.3,ON
31.3,87,ON
23,,OFF
16.6,67.9,OFF
20.6,53.9,OFF
17,40.7,OFF
28,20,OFF
24,61.5,OFF
21.6,39.5,OFF
23.8,53.3,OFF
21.8,52.2,OFF
28.9,59.8,ON
23.4,36.5,OFF
17.7,58.1,OFF
20.2,62.7,OFF
-55,58.9,OFF
14.8,54.4,OFF
23.1,37.4,OFF
25.5,72,ON
26,50.2,OFF
24.8,70.5,ON
23.3,30.6,OFF
85,40.5,OFF
36.5,56.7,ON
18.6,75.8,ON
31.3,51.6,ON
23.9,50.9,OFF
28.5,78.4,ON
24,33.7,OFF
25,49.9,OFF
25.2,82.8,ON
19,54.1,OFF
12.9,180,OFF
26.3,42.8,OFF
26.4,62,OFF
31.4,17.6,ON
16.5,55.6,OFF
31.4,63.6,ON
23.9,32.2,OFF
24.6,59.2,OFF
33.5,71.9,ON
28.3,45,ON
24,61.9,OFF
18.9,67.6,ON
21.4,61,OFF
23.1,63.2,OFF
29.2,57.5,ON
24.4,,OFF
22.8,71.1,ON
34.2,88.3,ON
21.2,,OFF
21.6,71.7,ON
30.3,69.7,ON
27.6,42.6,OFF
24.7,64.7,OFF
27.6,78.9,ON
29,50,ON
25.7,54.8,OFF
26.5,55.8,OFF
17.5,53.4,OFF
19.2,54.9,OFF
30.8,62.5,ON
25,55.5,OFF
34.2,63.6,ON
18.3,63.1,OFF
16.2,62.1,OFF
19.9,53.2,OFF
26.9,53.4,OFF
26.4,180,OFF
15.2,81.3,ON
18.6,,OFF
21.9,50.7,OFF
13.1,76.4,ON
27.6,71.4,ON
26.1,53.9,OFF
29.1,55.3,ON
24.2,40.2,ON
16.1,64.7,OFF
17.4,65.6,OFF
16.2,67.2,OFF
21.6,52.7,OFF
20.8,58.8,OFF
23.1,89.8,ON
25.9,53.8,OFF
26.7,37.5,OFF
20.9,42.6,OFF
17.6,39.8,OFF
22.7,180,OFF
28,55.3,OFF
,39.6,ON
29.3,57,ON
,48.9,OFF
22.4,46,OFF
21.9,80.9,ON
23.7,71.1,ON
120,68.6,ON
